unique_step_id,battery_id,step_number,working_ion,battery_formula,formula_charge,formula_discharge,charge_material_id,discharge_material_id,charge_cif,discharge_cif,average_voltage,capacity_grav,capacity_vol,energy_grav,energy_vol,fracA_charge,fracA_discharge,stability_charge,max_delta_volume,delta_stability,delta_fracA,total_steps_in_battery,max_voltage_step
mp-774457_Li_Step1,mp-774457_Li,1,Li,Li1-9Nb7V12O48,LiNb7V12O48,Li9Nb7V12O48,mp-774457,mp-850928,mp-774457_Li_Step1_CHG_mp-774457.cif,mp-774457_Li_Step1_DIS_mp-850928.cif,-0.2789682888681158,4.639448555858879,367.3124691,311.9656213,1118.079045,0.014705882,0.118421053,0.2178010915741037,-0.23364247223225826,-0.002676666,-0.10371517,1,0.0
mp-774722_Li_Step1,mp-774722_Li,1,Li,Li0-1La20Cu9O40,La20Cu9O40,LiLa20Cu9O40,mp-849992,mp-774722,mp-774722_Li_Step1_CHG_mp-849992.cif,mp-774722_Li_Step1_DIS_mp-774722.cif,-0.12505635288596934,2.04193427173397,46.3446955,21.76945313,150.4583966,0.0,0.014285714,0.057088672311703656,-0.3300837306455295,0.011922439,-0.014285714,1,0.0
mp-774793_Li_Step1,mp-774793_Li,1,Li,Li0-1La8Cu3O16,La8Cu3O16,LiLa8Cu3O16,mp-776310,mp-774793,mp-774793_Li_Step1_CHG_mp-776310.cif,mp-774793_Li_Step1_DIS_mp-774793.cif,-0.07485056204292258,2.897435189689745,118.2786522,56.73656609,391.8078282,0.0,0.035714286,0.23216197484268675,-0.35186767361954685,0.022869976,-0.035714286,1,0.0
mp-774835_Li_Step1,mp-774835_Li,1,Li,Li0-8Fe7(PO4)8,Fe7(PO4)8,Li8Fe7(PO4)8,mp-1178257,mp-774835,mp-774835_Li_Step1_CHG_mp-1178257.cif,mp-774835_Li_Step1_DIS_mp-774835.cif,0.4936461474080166,5.18602217372365,592.4639907,721.8276638,2405.863741,0.0,0.145454545,0.5897014267039432,-0.3302509686578919,0.062156709,-0.145454545,1,0.0
mp-774897_Li_Step1,mp-774897_Li,1,Li,Li0-3Mn2CrO6,Mn2CrO6,Li3Mn2CrO6,mp-775006,mp-774897,mp-774897_Li_Step1_CHG_mp-775006.cif,mp-774897_Li_Step1_DIS_mp-774897.cif,0.006286686059910585,5.668179090512366,1182.619594,986.5108789,4043.81019,0.0,0.25,0.2409607516247174,0.2439276299329819,0.017171172,-0.25,1,0.0
mp-775226_Li_Step1,mp-775226_Li,1,Li,Li0.5-0.88MnBO3,LiMn2(BO3)2,Li7Mn8(BO3)8,mp-778827,mp-779303,mp-775226_Li_Step1_CHG_mp-778827.cif,mp-775226_Li_Step1_DIS_mp-779303.cif,-0.051269597613245024,4.441238673617682,266.9251037,280.4626862,892.4954462,0.090909091,0.14893617,0.2048816700385261,-0.3984665271372783,0.045769371,-0.058027079,1,0.0
mp-775158_Li_Step1,mp-775158_Li,1,Li,Li0-8Mn13Cr3O32,Mn13Cr3O32,Li8Mn13Cr3O32,mp-775873,mp-775158,mp-775158_Li_Step1_CHG_mp-775873.cif,mp-775158_Li_Step1_DIS_mp-775158.cif,0.6248204526078013,5.011542764220664,603.3029963,631.3551518,2554.031149,0.0,0.142857143,0.26082446546528415,-0.05210896361729536,0.028665663,-0.142857143,1,0.0
mp-775155_Li_Step1,mp-775155_Li,1,Li,Li4-5FeOF5,Li4FeOF5,Li5FeOF5,mp-775155,mp-1177101,mp-775155_Li_Step1_CHG_mp-775155.cif,mp-775155_Li_Step1_DIS_mp-1177101.cif,-0.4443669651989738,4.897709186943792,401.0172599,375.8438494,1133.381248,0.363636364,0.416666667,0.9572965190532677,-0.37992768547241335,0.008660547,-0.053030303,1,0.0
mp-775438_Li_Step1,mp-775438_Li,1,Li,Li0-1V2OF5,V2OF5,LiV2OF5,mp-775438,mp-778879,mp-775438_Li_Step1_CHG_mp-775438.cif,mp-775438_Li_Step1_DIS_mp-778879.cif,-0.33420344314104733,4.811592419237177,407.561056,362.2763239,1210.966092,0.0,0.111111111,-1.290192863754511,-0.3566984118258181,-0.070400412,-0.111111111,1,0.0
mp-775628_Li_Step1,mp-775628_Li,1,Li,Li5-6La3(SbO6)2,Li5La3(SbO6)2,Li6La3(SbO6)2,mp-775628,mp-1212139,mp-775628_Li_Step1_CHG_mp-775628.cif,mp-775628_Li_Step1_DIS_mp-1212139.cif,-1.9419594516540868,3.4334538580876903,159.6823805,25.64477839,136.5758922,0.227272727,0.260869565,-0.11031107309070809,-0.2572839916855173,-0.030991552,-0.033596838,1,0.0
